ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P15YM_AN,GRAPROES,Mun,Loc,Ageb,Manza,Key
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,31,11,8.1,079,0001,0487,031,3107900010487031
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,32,6,7.14,079,0001,0487,032,3107900010487032
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,33,0,0,079,0001,0487,033,3107900010487033
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,35,4,7.89,079,0001,0487,035,3107900010487035
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,36,4,6.58,079,0001,0487,036,3107900010487036
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,37,,8.09,079,0001,0487,037,3107900010487037
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,38,0,8.89,079,0001,0487,038,3107900010487038
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,39,,8.15,079,0001,0487,039,3107900010487039
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,40,3,7.75,079,0001,0487,040,3107900010487040
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,41,6,6.67,079,0001,0487,041,3107900010487041
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,42,0,12.17,079,0001,0487,042,3107900010487042
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,43,0,6.85,079,0001,0487,043,3107900010487043
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,44,0,0,079,0001,0487,044,3107900010487044
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,46,,,079,0001,0487,046,3107900010487046
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,47,,7.43,079,0001,0487,047,3107900010487047
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,48,0,0,079,0001,0487,048,3107900010487048
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,49,,,079,0001,0487,049,3107900010487049
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,50,0,0,079,0001,0487,050,3107900010487050
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,800,,,079,0001,0487,800,3107900010487800
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,1,4,11.11,079,0001,0491,001,3107900010491001
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,2,0,9,079,0001,0491,002,3107900010491002
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,3,,,079,0001,0491,003,3107900010491003
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,4,0,0,079,0001,0491,004,3107900010491004
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,5,,,079,0001,0491,005,3107900010491005
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,6,,,079,0001,0491,006,3107900010491006
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,7,,10.38,079,0001,0491,007,3107900010491007
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,8,,10.26,079,0001,0491,008,3107900010491008
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,9,,11.66,079,0001,0491,009,3107900010491009
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,10,,11.31,079,0001,0491,010,3107900010491010
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,11,,10.43,079,0001,0491,011,3107900010491011
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,12,,12.05,079,0001,0491,012,3107900010491012
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,13,0,13,079,0001,0491,013,3107900010491013
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,14,0,0,079,0001,0491,014,3107900010491014
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,16,0,13.07,079,0001,0491,016,3107900010491016
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,17,,12.53,079,0001,0491,017,3107900010491017
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,18,3,10.2,079,0001,0491,018,3107900010491018
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,19,0,11.47,079,0001,0491,019,3107900010491019
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,20,,10.15,079,0001,0491,020,3107900010491020
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,21,7,8.74,079,0001,0491,021,3107900010491021
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,22,,9.29,079,0001,0491,022,3107900010491022
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,23,,8.79,079,0001,0491,023,3107900010491023
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,24,3,10.2,079,0001,0491,024,3107900010491024
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,25,,10.72,079,0001,0491,025,3107900010491025
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,26,,10.44,079,0001,0491,026,3107900010491026
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,27,3,10.83,079,0001,0491,027,3107900010491027
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,28,6,10.13,079,0001,0491,028,3107900010491028
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,29,4,9.93,079,0001,0491,029,3107900010491029
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,30,,10.14,079,0001,0491,030,3107900010491030
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,31,13,5.23,079,0001,0491,031,3107900010491031
